frameNumber,trackerPosition,trackerRotation,centerHit,centerHitPosition,centerHitGroup,boxHit,boxHitPosition,boxHitGroup,presentObjectName,presentObjectGroup
410,"(-193.7, 102.0, -132.2)","(0.0, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,New_NPC (47)(Clone),"(-118.3, 102.9, -123.0)",PedestriansManager,TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*New_NPC (47)(Clone)*,WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
411,"(-193.7, 102.0, -132.2)","(0.0, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,New_NPC (47)(Clone),"(-118.3, 102.9, -123.0)",PedestriansManager,TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*New_NPC (47)(Clone)*,WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
412,"(-193.5, 102.0, -132.2)","(0.0, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,New_NPC (47)(Clone),"(-118.3, 102.9, -122.9)",PedestriansManager,TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*New_NPC (47)(Clone)*,WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
413,"(-193.4, 102.0, -132.2)","(0.0, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,New_NPC (47)(Clone),"(-118.3, 102.9, -122.8)",PedestriansManager,TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*New_NPC (47)(Clone)*,WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
414,"(-193.3, 102.0, -132.2)","(0.0, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,New_NPC (47)(Clone),"(-118.3, 103.0, -122.6)",PedestriansManager,TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*New_NPC (47)(Clone)*,WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
415,"(-193.2, 102.0, -132.2)","(0.0, 0.7, 0.0, 0.7)",null,"(0.0, 0.0, 0.0)",null,New_NPC (47)(Clone),"(-118.3, 103.2, -122.6)",PedestriansManager,TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*New_NPC (47)(Clone)*,WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
416,"(-193.1, 102.0, -132.2)","(0.0, 0.7, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,Square_Sign_LOD0,"(-139.2, 103.3, -119.6)",WestRide Traffic,Square_Sign_LOD0*Square_Sign_LOD0*New_NPC (47)(Clone)*,WestRide Traffic*WestRide Traffic*PedestriansManager*
417,"(-192.9, 102.0, -132.2)","(0.0, 0.6, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,TS1_Stand_Medium_LOD0,"(-139.3, 101.6, -119.2)",WestRide Traffic,Square_Sign_LOD0*TS1_Stand_Medium_LOD0*New_NPC (47)(Clone)*,WestRide Traffic*WestRide Traffic*PedestriansManager*
418,"(-192.9, 102.0, -132.2)","(0.0, 0.6, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,TS1_Stand_Medium_LOD0,"(-139.3, 101.6, -119.2)",WestRide Traffic,Square_Sign_LOD0*TS1_Stand_Medium_LOD0*New_NPC (47)(Clone)*,WestRide Traffic*WestRide Traffic*PedestriansManager*
419,"(-192.7, 102.0, -132.2)","(0.0, 0.6, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,TS1_Stand_Medium_LOD0,"(-139.3, 101.5, -119.2)",WestRide Traffic,Square_Sign_LOD0*TS1_Stand_Medium_LOD0*New_NPC (47)(Clone)*,WestRide Traffic*WestRide Traffic*PedestriansManager*
420,"(-192.5, 102.0, -132.2)","(0.0, 0.6, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,TS1_Stand_Medium_LOD0,"(-139.3, 101.6, -119.2)",WestRide Traffic,Square_Sign_LOD0*TS1_Stand_Medium_LOD0*,WestRide Traffic*WestRide Traffic*
421,"(-192.4, 102.0, -132.2)","(0.0, 0.6, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,TS1_Stand_Medium_LOD0,"(-139.3, 101.6, -119.2)",WestRide Traffic,Square_Sign_LOD0*Square_Sign_LOD0*TS1_Stand_Medium_LOD0*,WestRide Traffic*WestRide Traffic*WestRide Traffic*
422,"(-192.3, 102.0, -132.2)","(0.0, 0.6, 0.0, 0.8)",retirementHome1,"(389.7, 155.6, 72.1)",WestRide Buildings,Square_Sign_LOD0,"(-139.2, 103.3, -118.9)",WestRide Traffic,retirementHome1*Building 11*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*,WestRide Buildings*WestRide Buildings*WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*
423,"(-192.1, 102.0, -132.1)","(0.0, 0.5, 0.0, 0.8)",Building 11,"(-58.6, 114.8, -73.5)",WestRide Buildings,TS1_Stand_Medium_LOD0,"(-139.5, 102.0, -111.1)",WestRide Traffic,retirementHome1*Building 11*TS1_Stand_Medium_LOD0*Circle_Sign_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*TS1_Stand_Medium_LOD0*New_NPC (81)(Clone)*,WestRide Buildings*WestRide Buildings*WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
424,"(-191.9, 102.0, -132.1)","(0.0, 0.5, 0.0, 0.8)",Building 11,"(-67.6, 114.0, -71.8)",WestRide Buildings,TS1_Stand_Medium_LOD0,"(-139.5, 102.0, -111.1)",WestRide Traffic,retirementHome1*Building 11*TS1_Stand_Medium_LOD0*Circle_Sign_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*TS1_Stand_Medium_LOD0*New_NPC (81)(Clone)*,WestRide Buildings*WestRide Buildings*WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
425,"(-191.7, 102.0, -132.1)","(0.0, 0.5, 0.0, 0.8)",Building 11,"(-67.6, 114.4, -71.2)",WestRide Buildings,TS1_Stand_Medium_LOD0,"(-139.5, 102.2, -111.1)",WestRide Traffic,retirementHome1*Building 11*TS1_Stand_Medium_LOD0*Circle_Sign_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*TS1_Stand_Medium_LOD0*New_NPC (81)(Clone)*,WestRide Buildings*WestRide Buildings*WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
426,"(-191.6, 102.0, -132.1)","(0.0, 0.5, 0.0, 0.9)",Building 11,"(-67.5, 114.5, -68.7)",WestRide Buildings,TS1_Stand_Medium_LOD0,"(-139.5, 102.2, -111.1)",WestRide Traffic,retirementHome1*Building 11*TS1_Stand_Medium_LOD0*Circle_Sign_LOD0*TS1_Stand_Medium_LOD0*Square_Sign_LOD0*Square_Sign_LOD0*TS1_Stand_Medium_LOD0*New_NPC (81)(Clone)*,WestRide Buildings*WestRide Buildings*WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
427,"(-191.4, 102.0, -132.1)","(0.0, 0.5, 0.0, 0.9)",Building 11,"(-67.3, 116.6, -63.3)",WestRide Buildings,New_NPC (81)(Clone),"(-137.1, 103.3, -106.9)",PedestriansManager,retirementHome1*Building 11*TS1_Stand_Medium_LOD0*Circle_Sign_LOD0*New_NPC (81)(Clone)*,WestRide Buildings*WestRide Buildings*WestRide Traffic*WestRide Traffic*PedestriansManager*
428,"(-191.2, 102.0, -132.1)","(-0.1, 0.5, 0.1, 0.9)",Building 11,"(-67.2, 122.5, -57.2)",WestRide Buildings,Building 11,"(-67.3, 117.2, -63.4)",WestRide Buildings,retirementHome1*Building 11*,WestRide Buildings*WestRide Buildings*
429,"(-191.1, 102.0, -132.1)","(-0.1, 0.5, 0.1, 0.9)",Building 11,"(-67.1, 124.8, -53.4)",WestRide Buildings,Building 11,"(-67.2, 119.4, -59.6)",WestRide Buildings,retirementHome1*Building 11*,WestRide Buildings*WestRide Buildings*
430,"(-190.9, 102.0, -132.1)","(-0.1, 0.5, 0.1, 0.9)",Building 11,"(-67.0, 126.7, -51.3)",WestRide Buildings,Building 11,"(-67.2, 121.2, -57.6)",WestRide Buildings,Building 11*,WestRide Buildings*
431,"(-190.7, 102.0, -132.0)","(-0.1, 0.5, 0.1, 0.9)",Building 11,"(-67.0, 127.2, -49.9)",WestRide Buildings,Building 11,"(-67.2, 121.7, -56.3)",WestRide Buildings,Building 11*,WestRide Buildings*
432,"(-190.5, 102.0, -132.0)","(-0.1, 0.5, 0.1, 0.9)",Building 11,"(-67.1, 124.0, -53.6)",WestRide Buildings,Building 11,"(-67.3, 118.6, -59.8)",WestRide Buildings,retirementHome1*Building 11*,WestRide Buildings*WestRide Buildings*
433,"(-190.4, 102.0, -132.0)","(0.0, 0.5, 0.1, 0.9)",Building 11,"(-67.1, 121.3, -54.7)",WestRide Buildings,Building 11,"(-67.3, 116.0, -61.0)",WestRide Buildings,retirementHome1*Building 11*,WestRide Buildings*WestRide Buildings*
434,"(-190.2, 102.0, -132.0)","(0.0, 0.5, 0.0, 0.9)",Building 11,"(-67.2, 120.1, -56.4)",WestRide Buildings,Building 11,"(-67.3, 114.8, -62.6)",WestRide Buildings,retirementHome1*Building 11*,WestRide Buildings*WestRide Buildings*
435,"(-189.9, 102.0, -132.0)","(0.0, 0.5, 0.0, 0.9)",Building 11,"(-67.2, 119.8, -58.2)",WestRide Buildings,Building 11,"(-67.4, 114.5, -64.3)",WestRide Buildings,retirementHome1*Building 11*,WestRide Buildings*WestRide Buildings*
436,"(-189.7, 102.0, -132.0)","(0.0, 0.5, 0.0, 0.9)",Building 11,"(-67.3, 120.2, -63.4)",WestRide Buildings,Building 11,"(-67.5, 114.9, -69.4)",WestRide Buildings,retirementHome1*Building 11*,WestRide Buildings*WestRide Buildings*
437,"(-189.6, 102.0, -132.0)","(-0.1, 0.5, 0.1, 0.9)",Building 11,"(-67.4, 121.8, -66.0)",WestRide Buildings,Building 11,"(-67.6, 116.5, -72.0)",WestRide Buildings,retirementHome1*Building 11*,WestRide Buildings*WestRide Buildings*
438,"(-189.3, 102.0, -132.0)","(-0.1, 0.5, 0.1, 0.8)",Building 11,"(-67.5, 133.0, -68.3)",WestRide Buildings,Building 11,"(-67.6, 127.5, -73.2)",WestRide Buildings,Building 11*,WestRide Buildings*
439,"(-189.1, 102.0, -131.9)","(-0.1, 0.5, 0.1, 0.8)",Building 11,"(-67.5, 152.2, -69.7)",WestRide Buildings,Building 11,"(-67.6, 146.3, -73.2)",WestRide Buildings,Building 11*,WestRide Buildings*
440,"(-189.0, 102.0, -131.9)","(-0.2, 0.5, 0.2, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
441,"(-188.7, 102.0, -131.9)","(-0.2, 0.5, 0.2, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
442,"(-188.5, 102.0, -131.9)","(-0.3, 0.5, 0.2, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
443,"(-188.3, 102.0, -131.9)","(-0.3, 0.5, 0.2, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
444,"(-188.1, 102.0, -131.8)","(-0.3, 0.5, 0.2, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
445,"(-187.9, 102.1, -131.8)","(-0.3, 0.5, 0.2, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
446,"(-187.7, 102.1, -131.8)","(-0.4, 0.5, 0.2, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
447,"(-187.4, 102.1, -131.8)","(-0.4, 0.5, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
448,"(-187.3, 102.1, -131.8)","(-0.4, 0.5, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
449,"(-187.0, 102.1, -131.8)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
450,"(-186.8, 102.1, -131.7)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
451,"(-186.5, 102.1, -131.7)","(-0.4, 0.5, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
452,"(-186.4, 102.1, -131.7)","(-0.4, 0.5, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
453,"(-186.1, 102.1, -131.7)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
454,"(-185.9, 102.1, -131.7)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
455,"(-185.6, 102.1, -131.7)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
456,"(-185.5, 102.1, -131.6)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
457,"(-185.2, 102.1, -131.6)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
458,"(-184.9, 102.1, -131.6)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
459,"(-184.7, 102.1, -131.6)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
460,"(-184.5, 102.1, -131.6)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
461,"(-184.2, 102.1, -131.6)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
462,"(-184.0, 102.1, -131.6)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
463,"(-183.8, 102.1, -131.5)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
464,"(-183.5, 102.1, -131.5)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
465,"(-183.2, 102.1, -131.5)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
466,"(-182.8, 102.1, -131.5)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
467,"(-182.5, 102.1, -131.5)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
468,"(-182.2, 102.1, -131.5)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
469,"(-181.9, 102.1, -131.5)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
470,"(-181.8, 102.1, -131.4)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
471,"(-181.5, 102.2, -131.4)","(-0.4, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
472,"(-181.2, 102.2, -131.4)","(-0.3, 0.4, 0.1, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
473,"(-181.0, 102.2, -131.4)","(-0.3, 0.4, 0.1, 0.9)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
474,"(-180.7, 102.2, -131.4)","(-0.3, 0.4, 0.0, 0.9)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,body*,WestRide Traffic*
475,"(-180.4, 102.2, -131.4)","(-0.2, 0.4, 0.0, 0.9)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,body*,WestRide Traffic*
476,"(-180.1, 102.2, -131.4)","(-0.2, 0.4, 0.0, 0.9)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,body*,WestRide Traffic*
477,"(-179.9, 102.2, -131.4)","(-0.1, 0.4, 0.0, 0.9)",null,"(0.0, 0.0, 0.0)",null,3855_combined_LB_building-6  [Legacy Shaders/Reflective/Specular],"(-68.9, 136.8, -14.0)",WestRide Buildings,3855_combined_LB_building-6  [Legacy Shaders/Reflective/Specular]*body*,WestRide Buildings*WestRide Traffic*
478,"(-179.6, 102.1, -131.4)","(-0.1, 0.4, 0.0, 0.9)",null,"(0.0, 0.0, 0.0)",null,3855_combined_LB_building-6  [Legacy Shaders/Reflective/Specular],"(-59.6, 130.0, -14.1)",WestRide Buildings,3855_combined_LB_building-6  [Legacy Shaders/Reflective/Specular]*body*,WestRide Buildings*WestRide Traffic*
479,"(-179.3, 102.1, -131.4)","(-0.1, 0.4, 0.0, 0.9)",null,"(0.0, 0.0, 0.0)",null,Building 11,"(-66.7, 121.1, -39.0)",WestRide Buildings,Building 11*body*,WestRide Buildings*WestRide Traffic*
480,"(-179.1, 102.1, -131.4)","(-0.1, 0.4, 0.0, 0.9)",Building 11,"(-66.8, 115.5, -41.0)",WestRide Buildings,Building 11,"(-66.9, 109.6, -47.0)",WestRide Buildings,retirementHome1*Building 11*body*,WestRide Buildings*WestRide Buildings*WestRide Traffic*
481,"(-178.8, 102.1, -131.3)","(0.0, 0.4, 0.0, 0.9)",Building 11,"(-66.8, 110.6, -43.0)",WestRide Buildings,Circle_Sign_LOD0,"(-135.3, 103.3, -102.4)",WestRide Traffic,retirementHome1*Building 11*TS1_Stand_Medium_LOD0*Circle_Sign_LOD0*TS1_Stand_Medium_LOD0*Circle_Sign_LOD0*body*,WestRide Buildings*WestRide Buildings*WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*
482,"(-178.5, 102.1, -131.3)","(0.0, 0.4, 0.0, 0.9)",null,"(0.0, 0.0, 0.0)",null,Circle_Sign_LOD0,"(-135.3, 104.1, -102.4)",WestRide Traffic,Building 11*TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*Circle_Sign_LOD0*body*,WestRide Buildings*WestRide Traffic*WestRide Traffic*WestRide Traffic*WestRide Traffic*
483,"(-178.2, 102.1, -131.3)","(0.0, 0.5, 0.0, 0.9)",null,"(0.0, 0.0, 0.0)",null,TS1_Stand_Medium_LOD0,"(-135.0, 101.6, -102.5)",WestRide Traffic,TS1_Stand_Medium_LOD0*body*,WestRide Traffic*WestRide Traffic*
484,"(-178.0, 102.1, -131.3)","(0.1, 0.5, -0.1, 0.9)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,body*,WestRide Traffic*
485,"(-177.7, 102.1, -131.3)","(0.1, 0.5, 0.0, 0.9)",null,"(0.0, 0.0, 0.0)",null,TS1_Stand_Medium_LOD0,"(-139.5, 101.2, -111.1)",WestRide Traffic,TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*body*New_NPC (81)(Clone)*,WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
486,"(-177.4, 102.1, -131.3)","(0.0, 0.5, 0.0, 0.9)",null,"(0.0, 0.0, 0.0)",null,TS1_Stand_Medium_LOD0,"(-139.5, 102.3, -111.1)",WestRide Traffic,TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*TS1_Stand_Medium_LOD0*New_NPC (81)(Clone)*,WestRide Traffic*WestRide Traffic*WestRide Traffic*PedestriansManager*
487,"(-177.2, 102.1, -131.3)","(0.1, 0.5, 0.0, 0.9)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
488,"(-176.9, 102.2, -131.2)","(0.1, 0.5, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
489,"(-176.5, 102.2, -131.2)","(0.1, 0.5, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
490,"(-176.2, 102.2, -131.2)","(0.1, 0.6, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
491,"(-176.0, 102.2, -131.2)","(0.1, 0.6, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,null,"(0.0, 0.0, 0.0)",null,null,null
492,"(-175.7, 102.2, -131.2)","(0.1, 0.6, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,TS1_Stand_Medium_LOD0,"(-139.3, 101.3, -119.2)",WestRide Traffic,TS1_Stand_Medium_LOD0*,WestRide Traffic*
493,"(-175.3, 102.2, -131.2)","(0.1, 0.6, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,TS1_Stand_Medium_LOD0,"(-139.3, 101.8, -119.2)",WestRide Traffic,TS1_Stand_Medium_LOD0*,WestRide Traffic*
494,"(-175.0, 102.2, -131.1)","(0.1, 0.6, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,TS1_Stand_Medium_LOD0,"(-139.3, 102.7, -119.2)",WestRide Traffic,TS1_Stand_Medium_LOD0*,WestRide Traffic*
495,"(-174.8, 102.2, -131.1)","(0.1, 0.6, 0.0, 0.8)",null,"(0.0, 0.0, 0.0)",null,TS1_Stand_Medium_LOD0,"(-139.3, 102.8, -119.2)",WestRide Traffic,TS1_Stand_Medium_LOD0*,WestRide Traffic*
